,date,season,year,month,holiday,weekday,workingday,weather,temp,hum,windspeed,casual,registered
32,2018-02-02,winter,0,2,not holiday,Friday,workingday,cloudy,10.66,77.5417,17.708636,72,1454
33,2018-02-03,winter,0,2,not holiday,Saturday,weekend or holiday,clear,7.665237,43.7826,18.609384,61,1489
34,2018-02-04,winter,0,2,not holiday,Sunday,weekend or holiday,cloudy,8.663464,58.5217,8.565213,88,1620
35,2018-02-05,winter,0,2,not holiday,Monday,workingday,cloudy,9.566653,92.9167,10.792293,100,905
36,2018-02-06,winter,0,2,not holiday,Tuesday,workingday,clear,11.719153,56.8333,9.5006,354,1269
37,2018-02-07,winter,0,2,not holiday,Wednesday,workingday,clear,11.138347,73.8333,3.0423561,120,1592
38,2018-02-08,winter,0,2,not holiday,Thursday,workingday,clear,9.054153,53.7917,24.25065,64,1466
39,2018-02-09,winter,0,2,not holiday,Friday,workingday,cloudy,5.526103,49.4783,12.652213,53,1552
40,2018-02-10,winter,0,2,not holiday,Saturday,weekend or holiday,clear,5.918268,43.7391,14.869645,47,1491
41,2018-02-11,winter,0,2,not holiday,Sunday,weekend or holiday,clear,7.752731,50.6364,7.27285,149,1597
42,2018-02-12,winter,0,2,not holiday,Monday,workingday,clear,9.1225,54.4167,13.625589,288,1184
43,2018-02-13,winter,0,2,not holiday,Tuesday,workingday,clear,12.977402,45.7391,17.479161,397,1192
44,2018-02-14,winter,0,2,not holiday,Wednesday,workingday,clear,17.015,37.5833,27.999836,208,1705
45,2018-02-15,winter,0,2,not holiday,Thursday,workingday,clear,10.909567,31.4348,19.522058,140,1675
46,2018-02-16,winter,0,2,not holiday,Friday,workingday,clear,13.048701,42.3478,16.869997,218,1897
47,2018-02-17,winter,0,2,not holiday,Saturday,weekend or holiday,clear,17.869153,50.5,15.416968,259,2216
48,2018-02-18,winter,0,2,not holiday,Sunday,weekend or holiday,clear,21.388347,51.6667,17.749975,579,2348
49,2018-02-19,winter,0,2,holiday,Monday,weekend or holiday,clear,16.365847,18.7917,34.000021,532,1103
50,2018-02-20,winter,0,2,not holiday,Tuesday,workingday,clear,11.693897,40.7826,14.956745,639,1173
51,2018-02-21,winter,0,2,not holiday,Wednesday,workingday,cloudy,12.436653,60.5,20.625682,195,912
52,2018-02-22,winter,0,2,not holiday,Thursday,workingday,clear,7.471102,57.7778,13.110761,74,1376
53,2018-02-23,winter,0,2,not holiday,Friday,workingday,clear,9.091299,42.3043,6.305571,139,1778
54,2018-02-24,winter,0,2,not holiday,Saturday,weekend or holiday,cloudy,12.121732,69.7391,16.783232,100,1707
55,2018-02-25,winter,0,2,not holiday,Sunday,weekend or holiday,cloudy,14.938268,71.2174,23.218113,120,1341
56,2018-02-26,winter,0,2,not holiday,Monday,workingday,clear,11.5825,53.7917,12.500257,424,1545
57,2018-02-27,winter,0,2,not holiday,Tuesday,workingday,clear,14.082598,68.0,8.391616,694,1708
58,2018-02-28,winter,0,2,not holiday,Wednesday,workingday,cloudy,16.698193,87.6364,19.408962,81,1365
59,2018-03-01,winter,0,3,not holiday,Thursday,workingday,clear,10.933347,53.5,14.500475,137,1714
60,2018-03-02,winter,0,3,not holiday,Friday,workingday,clear,13.735,44.9583,20.624811,231,1903
61,2018-03-03,winter,0,3,not holiday,Saturday,weekend or holiday,clear,8.131653,31.8333,15.125518,123,1562
62,2018-03-04,winter,0,3,not holiday,Sunday,weekend or holiday,cloudy,10.728347,61.0417,13.624182,214,1730
63,2018-03-05,winter,0,3,not holiday,Monday,workingday,cloudy,15.750847,78.9167,16.875357,640,1437
64,2018-03-06,winter,0,3,not holiday,Tuesday,workingday,cloudy,15.437402,94.8261,23.000229,114,491
65,2018-03-07,winter,0,3,not holiday,Wednesday,workingday,clear,10.731299,55.1304,22.870584,244,1628
66,2018-03-08,winter,0,3,not holiday,Thursday,workingday,clear,11.9925,42.0833,8.08355,316,1817
67,2018-03-09,winter,0,3,not holiday,Friday,workingday,cloudy,12.129153,77.5417,14.75005,191,1700
68,2018-03-10,winter,0,3,not holiday,Saturday,weekend or holiday,stormy,15.952731,0.0,17.545759,46,577
69,2018-03-11,winter,0,3,not holiday,Sunday,weekend or holiday,cloudy,12.977402,64.9565,15.60899,247,1730
70,2018-03-12,winter,0,3,not holiday,Monday,workingday,clear,13.495847,59.4583,14.791925,724,1408
71,2018-03-13,winter,0,3,not holiday,Tuesday,workingday,clear,15.758268,52.7391,18.130468,982,1435
72,2018-03-14,winter,0,3,not holiday,Wednesday,workingday,clear,13.333897,49.6957,9.174042,359,1687
73,2018-03-15,winter,0,3,not holiday,Thursday,workingday,cloudy,13.013031,65.5652,12.348703,289,1767
74,2018-03-16,winter,0,3,not holiday,Friday,workingday,cloudy,14.973897,77.6522,13.608839,321,1871
75,2018-03-17,winter,0,3,not holiday,Saturday,weekend or holiday,clear,17.015,60.2917,14.041793,424,2320
76,2018-03-18,winter,0,3,not holiday,Sunday,weekend or holiday,clear,22.14,52.5217,15.478139,884,2355
77,2018-03-19,winter,0,3,not holiday,Monday,workingday,clear,19.3725,37.9167,24.667189,1424,1693
78,2018-03-20,winter,0,3,not holiday,Tuesday,workingday,clear,13.6325,47.375,13.917307,1047,1424
79,2018-03-21,spring,0,3,not holiday,Wednesday,workingday,cloudy,17.647835,73.7391,19.348461,401,1676
80,2018-03-22,spring,0,3,not holiday,Thursday,workingday,clear,18.108347,62.4583,15.12525,460,2243
81,2018-03-23,spring,0,3,not holiday,Friday,workingday,cloudy,14.225237,83.9565,15.695487,203,1918
82,2018-03-24,spring,0,3,not holiday,Saturday,weekend or holiday,cloudy,11.685,80.5833,16.333729,166,1699
83,2018-03-25,spring,0,3,not holiday,Sunday,weekend or holiday,clear,10.830847,49.5,15.458575,300,1910
84,2018-03-26,spring,0,3,not holiday,Monday,workingday,clear,10.899153,39.4167,14.041257,981,1515
85,2018-03-27,spring,0,3,not holiday,Tuesday,workingday,cloudy,10.374763,49.3913,12.3481,472,1221
86,2018-03-28,spring,0,3,not holiday,Wednesday,workingday,clear,10.838268,30.2174,14.217668,222,1806
87,2018-03-29,spring,0,3,not holiday,Thursday,workingday,clear,12.4025,31.4167,15.208732,317,2108
88,2018-03-30,spring,0,3,not holiday,Friday,workingday,cloudy,12.3,64.6667,11.583496,168,1368
89,2018-03-31,spring,0,3,not holiday,Saturday,weekend or holiday,stormy,11.001653,91.8333,14.582282,179,1506
90,2018-04-01,spring,0,4,not holiday,Sunday,weekend or holiday,cloudy,12.3,68.625,17.333436,307,1920
91,2018-04-02,spring,0,4,not holiday,Monday,workingday,cloudy,12.915,65.375,13.208782,898,1354
92,2018-04-03,spring,0,4,not holiday,Tuesday,workingday,clear,15.511653,48.0,12.208271,1651,1598
93,2018-04-04,spring,0,4,not holiday,Wednesday,workingday,clear,23.506653,42.625,25.833257,734,2381
94,2018-04-05,spring,0,4,not holiday,Thursday,workingday,cloudy,16.980847,64.2083,26.000489,167,1628
95,2018-04-06,spring,0,4,not holiday,Friday,workingday,clear,16.024153,47.0833,17.625221,413,2395
96,2018-04-07,spring,0,4,not holiday,Saturday,weekend or holiday,clear,17.9375,60.2917,10.874904,571,2570
97,2018-04-08,spring,0,4,not holiday,Sunday,weekend or holiday,cloudy,13.769153,83.625,15.208464,172,1299
98,2018-04-09,spring,0,4,not holiday,Monday,workingday,cloudy,14.0425,87.75,8.916561,879,1576
99,2018-04-10,spring,0,4,not holiday,Tuesday,workingday,cloudy,17.493347,85.75,9.833389,1188,1707
100,2018-04-11,spring,0,4,not holiday,Wednesday,workingday,cloudy,24.421732,71.6956,21.739758,855,2493
101,2018-04-12,spring,0,4,not holiday,Thursday,workingday,cloudy,20.6025,73.9167,18.416893,257,1777
102,2018-04-13,spring,0,4,not holiday,Friday,workingday,cloudy,16.9125,81.9167,16.791339,209,1953
103,2018-04-14,spring,0,4,not holiday,Saturday,weekend or holiday,clear,19.1675,54.0417,7.4169,529,2738
104,2018-04-15,spring,0,4,not holiday,Sunday,weekend or holiday,clear,18.313347,67.125,15.167125,642,2484
105,2018-04-16,spring,0,4,holiday,Monday,weekend or holiday,stormy,17.664153,88.8333,22.834136,121,674
106,2018-04-17,spring,0,4,not holiday,Tuesday,workingday,clear,18.723347,47.9583,20.334232,1558,2186
107,2018-04-18,spring,0,4,not holiday,Wednesday,workingday,clear,21.0125,54.25,10.958989,669,2760
108,2018-04-19,spring,0,4,not holiday,Thursday,workingday,cloudy,20.739153,66.5833,10.584057,409,2795
109,2018-04-20,spring,0,4,not holiday,Friday,workingday,clear,24.395,61.4167,16.208975,613,3331
110,2018-04-21,spring,0,4,not holiday,Saturday,weekend or holiday,clear,18.825847,40.7083,21.792286,745,3444
111,2018-04-22,spring,0,4,not holiday,Sunday,weekend or holiday,cloudy,13.803347,72.9583,14.707907,177,1506
112,2018-04-23,spring,0,4,not holiday,Monday,workingday,cloudy,18.86,88.7917,15.458575,1462,2574
113,2018-04-24,spring,0,4,not holiday,Tuesday,workingday,cloudy,23.848347,81.0833,12.875725,1710,2481
114,2018-04-25,spring,0,4,not holiday,Wednesday,workingday,clear,24.873347,77.6667,12.417311,773,3300
115,2018-04-26,spring,0,4,not holiday,Thursday,workingday,clear,25.898347,72.9167,21.8755,678,3722
116,2018-04-27,spring,0,4,not holiday,Friday,workingday,cloudy,25.42,83.5417,20.9174,547,3325
117,2018-04-28,spring,0,4,not holiday,Saturday,weekend or holiday,cloudy,25.3175,70.0833,21.500836,569,3489
118,2018-04-29,spring,0,4,not holiday,Sunday,weekend or holiday,clear,20.91,45.7083,16.084221,878,3717
119,2018-04-30,spring,0,4,not holiday,Monday,workingday,clear,19.3725,50.3333,15.750025,1965,3347
120,2018-05-01,spring,0,5,not holiday,Tuesday,workingday,cloudy,18.518347,76.2083,7.125718,1138,2213
121,2018-05-02,spring,0,5,not holiday,Wednesday,workingday,cloudy,22.515847,73.0,12.291418,847,3554
122,2018-05-03,spring,0,5,not holiday,Thursday,workingday,cloudy,25.283347,69.7083,22.958689,603,3848
123,2018-05-04,spring,0,5,not holiday,Friday,workingday,cloudy,16.980847,73.7083,22.042732,255,2378
124,2018-05-05,spring,0,5,not holiday,Saturday,weekend or holiday,clear,18.825847,44.4167,19.791264,614,3819
125,2018-05-06,spring,0,5,not holiday,Sunday,weekend or holiday,clear,19.645847,59.0,15.292482,894,3714
126,2018-05-07,spring,0,5,not holiday,Monday,workingday,clear,21.32,54.125,10.75015,1612,3102
127,2018-05-08,spring,0,5,not holiday,Tuesday,workingday,clear,21.661653,63.1667,5.0007125,1401,2932
128,2018-05-09,spring,0,5,not holiday,Wednesday,workingday,clear,21.8325,58.875,11.792,664,3698
129,2018-05-10,spring,0,5,not holiday,Thursday,workingday,clear,21.8325,48.9167,7.749957,694,4109
130,2018-05-11,spring,0,5,not holiday,Friday,workingday,clear,22.2425,63.2917,8.083014,550,3632
131,2018-05-12,spring,0,5,not holiday,Saturday,weekend or holiday,clear,21.935,74.75,12.707689,695,4169
132,2018-05-13,spring,0,5,not holiday,Sunday,weekend or holiday,cloudy,21.0125,86.3333,12.041575,692,3413
133,2018-05-14,spring,0,5,not holiday,Monday,workingday,cloudy,21.354153,92.25,9.04165,902,2507
134,2018-05-15,spring,0,5,not holiday,Tuesday,workingday,cloudy,23.0625,86.7083,10.249593,1582,2971
135,2018-05-16,spring,0,5,not holiday,Wednesday,workingday,clear,23.6775,78.7917,8.500357,773,3185
136,2018-05-17,spring,0,5,not holiday,Thursday,workingday,cloudy,23.028347,83.7917,18.582718,678,3445
137,2018-05-18,spring,0,5,not holiday,Friday,workingday,cloudy,22.55,87.0,13.499964,536,3319
138,2018-05-19,spring,0,5,not holiday,Saturday,weekend or holiday,cloudy,21.764153,82.9583,7.250271,735,3840
139,2018-05-20,spring,0,5,not holiday,Sunday,weekend or holiday,clear,22.003347,71.9583,8.375871,909,4008
140,2018-05-21,spring,0,5,not holiday,Monday,workingday,clear,24.7025,62.6667,8.08355,2258,3547
141,2018-05-22,spring,0,5,not holiday,Tuesday,workingday,clear,24.770847,74.9583,9.916536,1576,3084
142,2018-05-23,spring,0,5,not holiday,Wednesday,workingday,cloudy,25.898347,81.0,15.667414,836,3438
143,2018-05-24,spring,0,5,not holiday,Thursday,workingday,cloudy,27.06,74.0833,13.875164,659,3833
144,2018-05-25,spring,0,5,not holiday,Friday,workingday,clear,27.094153,69.625,10.333611,740,4238
145,2018-05-26,spring,0,5,not holiday,Saturday,weekend or holiday,clear,29.041653,67.75,13.376014,758,3919
146,2018-05-27,spring,0,5,not holiday,Sunday,weekend or holiday,clear,27.948347,65.375,16.125493,871,3808
147,2018-05-28,spring,0,5,holiday,Monday,weekend or holiday,clear,26.889153,72.9583,15.416164,2001,2757
148,2018-05-29,spring,0,5,not holiday,Tuesday,workingday,clear,27.3675,81.875,14.333846,2355,2433
149,2018-05-30,spring,0,5,not holiday,Wednesday,workingday,clear,30.066653,68.5,8.792075,1549,2549
150,2018-05-31,spring,0,5,not holiday,Thursday,workingday,clear,31.775,63.6667,7.459043,673,3309
151,2018-06-01,spring,0,6,not holiday,Friday,workingday,cloudy,31.330847,67.7083,13.875164,513,3461
152,2018-06-02,spring,0,6,not holiday,Saturday,weekend or holiday,clear,29.315,30.5,19.583229,736,4232
153,2018-06-03,spring,0,6,not holiday,Sunday,weekend or holiday,clear,25.42,35.4167,16.959107,898,4414
154,2018-06-04,spring,0,6,not holiday,Monday,workingday,clear,26.035,45.625,8.250514,1869,3473
155,2018-06-05,spring,0,6,not holiday,Tuesday,workingday,cloudy,26.581653,65.25,9.292364,1685,3221
156,2018-06-06,spring,0,6,not holiday,Wednesday,workingday,clear,27.811653,60.0,8.167032,673,3875
157,2018-06-07,spring,0,6,not holiday,Thursday,workingday,clear,29.0075,59.7917,12.583136,763,4070
158,2018-06-08,spring,0,6,not holiday,Friday,workingday,clear,31.809153,62.2083,9.166739,676,3725
159,2018-06-09,spring,0,6,not holiday,Saturday,weekend or holiday,cloudy,33.141653,56.8333,10.042161,563,3352
160,2018-06-10,spring,0,6,not holiday,Sunday,weekend or holiday,clear,30.955,60.5,9.417118,815,3771
161,2018-06-11,spring,0,6,not holiday,Monday,workingday,clear,29.725,65.4583,10.37495,1729,3237
162,2018-06-12,spring,0,6,not holiday,Tuesday,workingday,clear,28.3925,74.7917,10.958989,1467,2993
163,2018-06-13,spring,0,6,not holiday,Wednesday,workingday,clear,26.035,49.4583,20.45845,863,4157
164,2018-06-14,spring,0,6,not holiday,Thursday,workingday,clear,24.770847,50.7083,18.041961,727,4164
165,2018-06-15,spring,0,6,not holiday,Friday,workingday,clear,25.693347,47.1667,11.250104,769,4411
166,2018-06-16,spring,0,6,not holiday,Saturday,weekend or holiday,cloudy,25.761653,68.8333,13.833557,545,3222
167,2018-06-17,spring,0,6,not holiday,Sunday,weekend or holiday,clear,26.615847,73.5833,9.582943,863,3981
168,2018-06-18,spring,0,6,not holiday,Monday,workingday,clear,28.563347,67.0417,8.000336,1807,3312
169,2018-06-19,spring,0,6,not holiday,Tuesday,workingday,cloudy,28.665847,66.6667,6.834,1639,3105
170,2018-06-20,spring,0,6,not holiday,Wednesday,workingday,cloudy,26.035,74.625,10.416825,699,3311
171,2018-06-21,spring,0,6,not holiday,Thursday,workingday,cloudy,27.914153,77.0417,11.458675,774,4061
172,2018-06-22,summer,0,6,not holiday,Friday,workingday,clear,30.066653,70.75,11.541554,661,3846
173,2018-06-23,summer,0,6,not holiday,Saturday,weekend or holiday,cloudy,29.861653,70.3333,15.999868,746,4044
174,2018-06-24,summer,0,6,not holiday,Sunday,weekend or holiday,clear,29.690847,57.3333,14.875675,969,4022
175,2018-06-25,summer,0,6,not holiday,Monday,workingday,clear,28.495,48.3333,14.041257,1782,3420
176,2018-06-26,summer,0,6,not holiday,Tuesday,workingday,clear,27.88,51.3333,6.3337311,1920,3385
177,2018-06-27,summer,0,6,not holiday,Wednesday,workingday,cloudy,27.9825,65.8333,7.208396,854,3854
178,2018-06-28,summer,0,6,not holiday,Thursday,workingday,clear,30.510847,63.4167,9.666961,732,3916
179,2018-06-29,summer,0,6,not holiday,Friday,workingday,clear,29.861653,49.7917,17.542007,848,4377
180,2018-06-30,summer,0,6,not holiday,Saturday,weekend or holiday,clear,28.563347,43.4167,12.415904,1027,4488
181,2018-07-01,summer,0,7,not holiday,Sunday,weekend or holiday,clear,29.6225,39.625,6.874736,1246,4116
182,2018-07-02,summer,0,7,not holiday,Monday,workingday,clear,30.271653,44.4583,7.709154,2204,2915
183,2018-07-03,summer,0,7,not holiday,Tuesday,workingday,cloudy,29.383347,68.25,15.333486,2282,2367
184,2018-07-04,summer,0,7,holiday,Wednesday,weekend or holiday,cloudy,29.793347,63.7917,5.4591064,3065,2978
185,2018-07-05,summer,0,7,not holiday,Thursday,workingday,clear,30.613347,59.0417,8.459286,1031,3634
186,2018-07-06,summer,0,7,not holiday,Friday,workingday,clear,29.52,74.3333,10.042161,784,3845
187,2018-07-07,summer,0,7,not holiday,Saturday,weekend or holiday,clear,30.75,65.125,10.6664,754,3838
188,2018-07-08,summer,0,7,not holiday,Sunday,weekend or holiday,cloudy,29.075847,75.7917,15.083643,692,3348
189,2018-07-09,summer,0,7,not holiday,Monday,workingday,clear,30.066653,60.9167,11.250104,1988,3348
190,2018-07-10,summer,0,7,not holiday,Tuesday,workingday,clear,30.6475,57.8333,12.292557,1743,3138
191,2018-07-11,summer,0,7,not holiday,Wednesday,workingday,clear,31.2625,63.5833,18.916579,723,3363
192,2018-07-12,summer,0,7,not holiday,Thursday,workingday,clear,32.560847,55.9167,13.417018,662,3596
193,2018-07-13,summer,0,7,not holiday,Friday,workingday,clear,30.613347,63.1667,9.790911,748,3594
194,2018-07-14,summer,0,7,not holiday,Saturday,weekend or holiday,clear,27.914153,47.625,16.124689,888,4196
195,2018-07-15,summer,0,7,not holiday,Sunday,weekend or holiday,clear,27.196653,59.125,12.249811,1318,4220
196,2018-07-16,summer,0,7,not holiday,Monday,workingday,clear,28.153347,58.5,13.958914,2418,3505
197,2018-07-17,summer,0,7,not holiday,Tuesday,workingday,clear,29.485847,60.4167,16.417211,2006,3296
198,2018-07-18,summer,0,7,not holiday,Wednesday,workingday,clear,30.613347,65.125,14.458868,841,3617
199,2018-07-19,summer,0,7,not holiday,Thursday,workingday,clear,31.843347,65.0417,8.7502,752,3789
200,2018-07-20,summer,0,7,not holiday,Friday,workingday,clear,31.501653,70.7083,7.625739,644,3688
201,2018-07-21,summer,0,7,not holiday,Saturday,weekend or holiday,cloudy,33.415,69.125,14.875407,632,3152
202,2018-07-22,summer,0,7,not holiday,Sunday,weekend or holiday,clear,34.781653,58.0417,8.9177,562,2825
203,2018-07-23,summer,0,7,not holiday,Monday,workingday,clear,34.815847,50.0,8.791807,987,2298
204,2018-07-24,summer,0,7,not holiday,Tuesday,workingday,clear,34.03,55.0833,11.334457,1050,2556
205,2018-07-25,summer,0,7,not holiday,Wednesday,workingday,clear,30.476653,75.7083,6.0841561,568,3272
206,2018-07-26,summer,0,7,not holiday,Thursday,workingday,clear,31.638347,54.0833,13.417286,750,3840
207,2018-07-27,summer,0,7,not holiday,Friday,workingday,clear,31.775,40.2917,12.292021,755,3901
208,2018-07-28,summer,0,7,not holiday,Saturday,weekend or holiday,clear,31.945847,58.3333,11.958093,606,3784
209,2018-07-29,summer,0,7,not holiday,Sunday,weekend or holiday,clear,34.371653,54.25,11.667246,670,3176
210,2018-07-30,summer,0,7,not holiday,Monday,workingday,clear,32.970847,46.5833,11.291979,1559,2916
211,2018-07-31,summer,0,7,not holiday,Tuesday,workingday,clear,33.039153,48.0833,11.042471,1524,2778
212,2018-08-01,summer,0,8,not holiday,Wednesday,workingday,clear,31.638347,55.0833,10.500039,729,3537
213,2018-08-02,summer,0,8,not holiday,Thursday,workingday,clear,32.116653,49.125,13.79195,801,4044
214,2018-08-03,summer,0,8,not holiday,Friday,workingday,cloudy,29.998347,65.75,9.084061,467,3107
215,2018-08-04,summer,0,8,not holiday,Saturday,weekend or holiday,cloudy,29.11,75.75,13.20905,799,3777
216,2018-08-05,summer,0,8,not holiday,Sunday,weekend or holiday,clear,29.144153,63.0833,12.374632,1023,3843
217,2018-08-06,summer,0,8,not holiday,Monday,workingday,cloudy,29.383347,75.5,15.29275,1521,2773
218,2018-08-07,summer,0,8,not holiday,Tuesday,workingday,clear,30.4425,75.2917,13.499629,1298,2487
219,2018-08-08,summer,0,8,not holiday,Wednesday,workingday,clear,31.365,59.2083,12.875725,846,3480
220,2018-08-09,summer,0,8,not holiday,Thursday,workingday,clear,31.775,57.0417,10.125107,907,3695
221,2018-08-10,summer,0,8,not holiday,Friday,workingday,clear,31.433347,42.4167,13.417286,884,3896
222,2018-08-11,summer,0,8,not holiday,Saturday,weekend or holiday,clear,29.4175,42.375,11.041332,812,3980
223,2018-08-12,summer,0,8,not holiday,Sunday,weekend or holiday,clear,29.041653,41.5,8.416607,1051,3854
224,2018-08-13,summer,0,8,not holiday,Monday,workingday,cloudy,28.119153,72.9583,14.167418,1504,2646
225,2018-08-14,summer,0,8,not holiday,Tuesday,workingday,cloudy,27.743347,81.75,14.916411,1338,2482
226,2018-08-15,summer,0,8,not holiday,Wednesday,workingday,clear,27.299153,71.2083,13.999918,775,3563
227,2018-08-16,summer,0,8,not holiday,Thursday,workingday,clear,28.734153,57.8333,15.834043,721,4004
228,2018-08-17,summer,0,8,not holiday,Friday,workingday,clear,29.656653,57.5417,9.625689,668,4026
229,2018-08-18,summer,0,8,not holiday,Saturday,weekend or holiday,clear,29.178347,65.4583,15.624936,639,3166
230,2018-08-19,summer,0,8,not holiday,Sunday,weekend or holiday,cloudy,28.085,72.2917,9.333636,797,3356
231,2018-08-20,summer,0,8,not holiday,Monday,workingday,clear,28.5975,67.4167,6.999289,1914,3277
232,2018-08-21,summer,0,8,not holiday,Tuesday,workingday,clear,29.144153,77.0,16.666518,1249,2624
233,2018-08-22,summer,0,8,not holiday,Wednesday,workingday,clear,28.358347,47.0,18.54225,833,3925
234,2018-08-23,summer,0,8,not holiday,Thursday,workingday,clear,26.274153,45.5417,9.833121,1281,4614
235,2018-08-24,summer,0,8,not holiday,Friday,workingday,clear,27.606653,60.5,16.958236,949,4181
236,2018-08-25,summer,0,8,not holiday,Saturday,weekend or holiday,cloudy,28.050847,77.1667,14.125811,435,3107
237,2018-08-26,summer,0,8,not holiday,Sunday,weekend or holiday,clear,28.7,76.125,5.6254875,768,3893
238,2018-08-27,summer,0,8,not holiday,Monday,workingday,cloudy,27.88,85.0,25.166339,226,889
239,2018-08-28,summer,0,8,not holiday,Tuesday,workingday,clear,28.989419,56.1765,20.412153,1415,2919
240,2018-08-29,summer,0,8,not holiday,Wednesday,workingday,clear,26.103347,55.4583,10.708275,729,3905
241,2018-08-30,summer,0,8,not holiday,Thursday,workingday,clear,26.205847,54.8333,8.375536,775,4429
242,2018-08-31,summer,0,8,not holiday,Friday,workingday,clear,26.923347,59.7917,5.5833311,688,4370
243,2018-09-01,summer,0,9,not holiday,Saturday,weekend or holiday,clear,26.855,63.9167,9.500332,783,4332
244,2018-09-02,summer,0,9,not holiday,Sunday,weekend or holiday,cloudy,26.376653,72.7083,9.375243,875,3852
245,2018-09-03,summer,0,9,holiday,Monday,weekend or holiday,clear,27.435847,71.6667,12.416775,1935,2549
246,2018-09-04,summer,0,9,not holiday,Tuesday,workingday,clear,29.075847,74.2083,13.833289,2521,2419
247,2018-09-05,summer,0,9,not holiday,Wednesday,workingday,cloudy,27.606653,79.0417,14.250632,1236,2115
248,2018-09-06,summer,0,9,not holiday,Thursday,workingday,stormy,22.14,88.6957,23.044181,204,2506
249,2018-09-07,summer,0,9,not holiday,Friday,workingday,stormy,24.565847,91.7083,6.5003936,118,1878
250,2018-09-08,summer,0,9,not holiday,Saturday,weekend or holiday,stormy,25.990433,93.9565,12.914116,153,1689
251,2018-09-09,summer,0,9,not holiday,Sunday,weekend or holiday,cloudy,26.65,89.7917,8.333393,417,3127
252,2018-09-10,summer,0,9,not holiday,Monday,workingday,clear,27.06,75.375,10.291736,1750,3595
253,2018-09-11,summer,0,9,not holiday,Tuesday,workingday,clear,26.786653,71.375,7.708618,1633,3413
